"document_type","document_title","chapter","chapter_title","section","section_title","article_number","content","sub_items","level","chunk_id","char_count","is_semantic_chunk"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第六节","电子招标投标","二","第一章
招标投标基础知识
第六节
电子招标投标
二、电子招标投标的法律依据","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__21","13","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第六节","电子招标投标","三","第一章
招标投标基础知识
第六节
电子招标投标
三、电子招标投标文件的证据效力","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__22","15","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第六节","电子招标投标","四","第一章
招标投标基础知识
第六节
电子招标投标
四、电子数据文件与纸质文件的效力优先认定","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__23","20","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第六节","电子招标投标","五","第一章
招标投标基础知识
第六节
电子招标投标
五、电子招标投标系统的三大平台","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__24","15","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第六节","电子招标投标","六","第一章
招标投标基础知识
第六节
电子招标投标
六、电子招标投标各环节程序规范","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__25","15","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第七节","招标投标法律法规体系","一","第一章
招标投标基础知识
第七节
招标投标法律法规体系
一、招标投标法律体系基本框架","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__26","14","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第七节","招标投标法律法规体系","二","第一章
招标投标基础知识
第七节
招标投标法律法规体系
二、《招标投标法》的适用范围","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__27","14","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第七节","招标投标法律法规体系","三","第一章
招标投标基础知识
第七节
招标投标法律法规体系
三、招标投标法律适用的基本规则","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__28","15","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第七节","招标投标法律法规体系","四","第一章
招标投标基础知识
第七节
招标投标法律法规体系
四、《招标投标法》与《政府采购法》如何适用","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__29","21","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第七节","招标投标法律法规体系","五","第一章
招标投标基础知识
第七节
招标投标法律法规体系
五、招标投标活动对《民法典》的适用","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__30","17","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第八节","强制招标制度","一","第一章
招标投标基础知识
第八节
强制招标制度
一、实行强制招标制度的必要性","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__31","14","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第八节","强制招标制度","二","第一章
招标投标基础知识
第八节
强制招标制度
二、工程建设项目强制招标的范围","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__32","15","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第八节","强制招标制度","三","第一章
招标投标基础知识
第八节
强制招标制度
三、准确理解强制招标制度的几个问题","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__33","17","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第八节","强制招标制度","四","第一章
招标投标基础知识
第八节
强制招标制度
四、强制招标制度的例外","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__34","11","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第九节","招标投标法律风险概述","一","第一章
招标投标基础知识
第九节
招标投标法律风险概述
一、招标投标风险的表现","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__35","11","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第九节","招标投标法律风险概述","二","第一章
招标投标基础知识
第九节
招标投标法律风险概述
二、招标投标主要环节的法律风险","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__36","15","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第一节","招标项目应满足的先决条件","一","第二章
招标阶段法律实务
第一节
招标项目应满足的先决条件
一、项目审批、核准","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__37","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第一节","招标项目应满足的先决条件","二","第二章
招标阶段法律实务
第一节
招标项目应满足的先决条件
二、审核招标内容","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__38","8","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第一节","招标项目应满足的先决条件","三","第二章
招标阶段法律实务
第一节
招标项目应满足的先决条件
三、落实项目资金","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__39","8","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第二节","招标代理","一","第二章
招标阶段法律实务
第二节
招标代理
一、委托招标的优势","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__40","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第二节","招标代理","二","第二章
招标阶段法律实务
第二节
招标代理
二、委托招标的常见问题","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__41","11","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第二节","招标代理","三","第二章
招标阶段法律实务
第二节
招标代理
三、招标代理机构的选择","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__42","11","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第二节","招标代理","四","第二章
招标阶段法律实务
第二节
招标代理
四、招标代理服务费","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__43","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第二节","招标代理","五","第二章
招标阶段法律实务
第二节
招标代理
五、招标代理机构的执业纪律","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__44","13","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第三节","招标公告","一","第二章
招标阶段法律实务
第三节
招标公告
一、招标公告的编制","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__45","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第三节","招标公告","二","第二章
招标阶段法律实务
第三节
招标公告
二、招标公告的发布","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__46","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第四节","资格审查","一","第二章
招标阶段法律实务
第四节
资格审查
一、资格审查方式","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__47","8","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第四节","资格审查","二","第二章
招标阶段法律实务
第四节
资格审查
二、资格预审","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__48","6","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第四节","资格审查","三","第二章
招标阶段法律实务
第四节
资格审查
三、资格后审","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__49","6","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第四节","资格审查","四","第二章
招标阶段法律实务
第四节
资格审查
四、资格审查的标准","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__50","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第五节","招标文件","一","第二章
招标阶段法律实务
第五节
招标文件
一、招标文件的编制","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__51","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第五节","招标文件","二","第二章
招标阶段法律实务
第五节
招标文件
二、招标文件的发售","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__52","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第五节","招标文件","三","第二章
招标阶段法律实务
第五节
招标文件
三、招标文件的澄清与修改","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__53","12","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第二章","招标阶段法律实务","第五节","招标文件","四","第二章
招标阶段法律实务
第五节
招标文件
四、对招标文件内容的异议","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__54","12","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第一节","投标人的主体资格","一","第三章
投标阶段法律实务
第一节
投标人的主体资格
一、对投标人资格的限制性法律规定","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__55","16","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第一节","投标人的主体资格","二","第三章
投标阶段法律实务
第一节
投标人的主体资格
二、严格控制投标人资格","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__56","11","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第二节","投标前期决策","一","第三章
投标阶段法律实务
第二节
投标前期决策
一、投标决策的常见法律风险","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__57","13","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第二节","投标前期决策","二","第三章
投标阶段法律实务
第二节
投标前期决策
二、投标人科学作出投标决策","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__58","13","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第三节","投标文件","一","第三章
投标阶段法律实务
第三节
投标文件
一、投标文件的编制","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__59","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第三节","投标文件","二","第三章
投标阶段法律实务
第三节
投标文件
二、投标文件的送达","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__60","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第三节","投标文件","三","第三章
投标阶段法律实务
第三节
投标文件
三、投标文件的接收与拒收","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__61","12","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第三节","投标文件","四","第三章
投标阶段法律实务
第三节
投标文件
四、投标文件的补充、修改和撤回","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__62","15","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第四节","联合体投标","一","第三章
投标阶段法律实务
第四节
联合体投标
一、对联合体投标的法律分析","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__63","13","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第四节","联合体投标","二","第三章
投标阶段法律实务
第四节
联合体投标
二、联合体投标的常见法律问题","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__64","14","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第四节","联合体投标","三","第三章
投标阶段法律实务
第四节
联合体投标
三、联合体投标法律风险防范对策","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__65","15","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第五节","投标担保","一","第三章
投标阶段法律实务
第五节
投标担保
一、投标担保制度","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__66","8","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第五节","投标担保","二","第三章
投标阶段法律实务
第五节
投标担保
二、投标保证金的含义与作用","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__67","13","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第五节","投标担保","三","第三章
投标阶段法律实务
第五节
投标担保
三、投标保证金的形式与法律性质","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__68","15","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第五节","投标担保","四","第三章
投标阶段法律实务
第五节
投标担保
四、投标保证金条款的设置","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__69","12","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第五节","投标担保","五","第三章
投标阶段法律实务
第五节
投标担保
五、投标保证金的金额","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__70","10","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第五节","投标担保","六","第三章
投标阶段法律实务
第五节
投标担保
六、投标保证金有效期","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__71","10","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第五节","投标担保","七","第三章
投标阶段法律实务
第五节
投标担保
七、投标保证金的提交与清退","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__72","13","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第五节","投标担保","八","第三章
投标阶段法律实务
第五节
投标担保
八、年度投标保证金","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__73","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第六节","投标人数不足三家时的处理","一","第三章
投标阶段法律实务
第六节
投标人数不足三家时的处理
一、投标人不足三个致招标失败的成因分析","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__74","19","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第六节","投标人数不足三家时的处理","二","第三章
投标阶段法律实务
第六节
投标人数不足三家时的处理
二、投标人不足三个的法律后果","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__75","14","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第六节","投标人数不足三家时的处理","三","第三章
投标阶段法律实务
第六节
投标人数不足三家时的处理
三、防范招标失败风险的对策","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__76","13","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第三章","投标阶段法律实务","第七节","串通投标","一","第三章
投标阶段法律实务
第七节
串通投标
一、串通投标行为的认定","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__77","11","False"
